Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW35,SW_PUSH,CherryMX_Hotswap_1.75u,264.3188,-121.4437,0.0,top
SW36,SW_PUSH,CherryMX_Hotswap_2u,66.675,-140.4937,0.0,top
SW37,SW_PUSH,CherryMX_Hotswap_1u,95.25,-140.4937,0.0,top
SW38,SW_PUSH,CherryMX_Hotswap_1u,114.3,-140.4937,0.0,top
SW39,SW_PUSH,CherryMX_Hotswap_1u,133.35,-140.4937,0.0,top
SW40,SW_PUSH,CherryMX_Hotswap_1u,152.4,-140.4937,0.0,top
SW41,SW_PUSH,CherryMX_Hotswap_1u,171.45,-140.4937,0.0,top
SW42,SW_PUSH,CherryMX_Hotswap_1u,190.5,-140.4937,0.0,top
SW43,SW_PUSH,CherryMX_Hotswap_1u,209.55,-140.4937,0.0,top
SW44,SW_PUSH,CherryMX_Hotswap_1u,228.6,-140.4937,0.0,top
SW45,SW_PUSH,CherryMX_Hotswap_1u,247.65,-140.4937,0.0,top
SW46,SW_PUSH,CherryMX_Hotswap_1.25u,269.0813,-140.4937,0.0,top
SW47,SW_PUSH,CherryMX_Hotswap_1.25u,59.5313,-159.5437,0.0,top
SW48,SW_PUSH,CherryMX_Hotswap_1u,80.9625,-159.5437,0.0,top
SW49,SW_PUSH,CherryMX_Hotswap_1u,100.0125,-159.5437,0.0,top
SW50,SW_PUSH,CherryMX_Hotswap_6.25u,169.0688,-159.5437,0.0,top
SW51,SW_PUSH,CherryMX_Hotswap_1.25u,240.5063,-159.5437,0.0,top
SW52,SW_PUSH,CherryMX_Hotswap_1.5u,266.7,-159.5437,0.0,top
SW53,RESET_SWITCH,ResetSW_1side,50.0063,-126.2062,90.0,top
U1,ProMicro,ProMicro_v2_1side,65.765,-82.2936,90.0,top
